"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1977-07","Canada","","Units","300","thousands","3","v730390","1","260.6","","","","1"
"1977-07","Newfoundland and Labrador","","Units","300","thousands","3","v730391","2","5.4","","","","1"
"1977-07","Prince Edward Island","","Units","300","thousands","3","v730393","3","0.8","","","","1"
"1977-07","Nova Scotia","","Units","300","thousands","3","v730394","4","5.5","","","","1"
"1977-07","New Brunswick","","Units","300","thousands","3","v730395","5","5.8","","","","1"
"1977-07","Quebec","","Units","300","thousands","3","v730396","6","63.7","","","","1"
"1977-07","Ontario","","Units","300","thousands","3","v730397","7","90.7","","","","1"
"1977-07","Manitoba","","Units","300","thousands","3","v730398","8","13.1","","","","1"
"1977-07","Saskatchewan","","Units","300","thousands","3","v730399","9","6.3","","","","1"
"1977-07","Alberta","","Units","300","thousands","3","v730400","10","37.3","","","","1"
"1977-07","British Columbia","","Units","300","thousands","3","v730392","11","32.0","","","","1"
"1977-08","Canada","","Units","300","thousands","3","v730390","1","250.9","","","","1"
"1977-08","Newfoundland and Labrador","","Units","300","thousands","3","v730391","2","2.6","","","","1"
"1977-08","Prince Edward Island","","Units","300","thousands","3","v730393","3","0.5","","","","1"
"1977-08","Nova Scotia","","Units","300","thousands","3","v730394","4","11.5","","","","1"
"1977-08","New Brunswick","","Units","300","thousands","3","v730395","5","4.5","","","","1"
"1977-08","Quebec","","Units","300","thousands","3","v730396","6","54.8","","","","1"
"1977-08","Ontario","","Units","300","thousands","3","v730397","7","79.2","","","","1"
"1977-08","Manitoba","","Units","300","thousands","3","v730398","8","9.7","","","","1"
"1977-08","Saskatchewan","","Units","300","thousands","3","v730399","9","10.8","","","","1"
"1977-08","Alberta","","Units","300","thousands","3","v730400","10","49.9","","","","1"
"1977-08","British Columbia","","Units","300","thousands","3","v730392","11","27.4","","","","1"
"1977-09","Canada","","Units","300","thousands","3","v730390","1","257.0","","","","1"
"1977-09","Newfoundland and Labrador","","Units","300","thousands","3","v730391","2","2.7","","","","1"
"1977-09","Prince Edward Island","","Units","300","thousands","3","v730393","3","0.8","","","","1"
"1977-09","Nova Scotia","","Units","300","thousands","3","v730394","4","9.0","","","","1"
"1977-09","New Brunswick","","Units","300","thousands","3","v730395","5","6.1","","","","1"
"1977-09","Quebec","","Units","300","thousands","3","v730396","6","57.0","","","","1"
"1977-09","Ontario","","Units","300","thousands","3","v730397","7","79.5","","","","1"
"1977-09","Manitoba","","Units","300","thousands","3","v730398","8","9.8","","","","1"
"1977-09","Saskatchewan","","Units","300","thousands","3","v730399","9","11.3","","","","1"
"1977-09","Alberta","","Units","300","thousands","3","v730400","10","45.4","","","","1"
"1977-09","British Columbia","","Units","300","thousands","3","v730392","11","35.4","","","","1"
"1977-10","Canada","","Units","300","thousands","3","v730390","1","228.3","","","","1"
"1977-10","Newfoundland and Labrador","","Units","300","thousands","3","v730391","2","2.7","","","","1"
"1977-10","Prince Edward Island","","Units","300","thousands","3","v730393","3","0.6","","","","1"
"1977-10","Nova Scotia","","Units","300","thousands","3","v730394","4","12.5","","","","1"
"1977-10","New Brunswick","","Units","300","thousands","3","v730395","5","4.0","","","","1"
"1977-10","Quebec","","Units","300","thousands","3","v730396","6","45.0","","","","1"
"1977-10","Ontario","","Units","300","thousands","3","v730397","7","76.9","","","","1"
"1977-10","Manitoba","","Units","300","thousands","3","v730398","8","5.6","","","","1"
"1977-10","Saskatchewan","","Units","300","thousands","3","v730399","9","16.0","","","","1"
"1977-10","Alberta","","Units","300","thousands","3","v730400","10","34.9","","","","1"
"1977-10","British Columbia","","Units","300","thousands","3","v730392","11","30.1","","","","1"
"1977-11","Canada","","Units","300","thousands","3","v730390","1","232.3","","","","1"
"1977-11","Newfoundland and Labrador","","Units","300","thousands","3","v730391","2","4.3","","","","1"
"1977-11","Prince Edward Island","","Units","300","thousands","3","v730393","3","0.5","","","","1"
"1977-11","Nova Scotia","","Units","300","thousands","3","v730394","4","9.9","","","","1"
"1977-11","New Brunswick","","Units","300","thousands","3","v730395","5","3.0","","","","1"
"1977-11","Quebec","","Units","300","thousands","3","v730396","6","48.2","","","","1"
"1977-11","Ontario","","Units","300","thousands","3","v730397","7","71.1","","","","1"
"1977-11","Manitoba","","Units","300","thousands","3","v730398","8","6.9","","","","1"
"1977-11","Saskatchewan","","Units","300","thousands","3","v730399","9","12.8","","","","1"
"1977-11","Alberta","","Units","300","thousands","3","v730400","10","40.7","","","","1"
"1977-11","British Columbia","","Units","300","thousands","3","v730392","11","34.9","","","","1"
"1977-12","Canada","","Units","300","thousands","3","v730390","1","263.9","","","","1"
"1977-12","Newfoundland and Labrador","","Units","300","thousands","3","v730391","2","2.4","","","","1"
"1977-12","Prince Edward Island","","Units","300","thousands","3","v730393","3","1.0","","","","1"
"1977-12","Nova Scotia","","Units","300","thousands","3","v730394","4","10.7","","","","1"
"1977-12","New Brunswick","","Units","300","thousands","3","v730395","5","1.9","","","","1"
"1977-12","Quebec","","Units","300","thousands","3","v730396","6","50.2","","","","1"
"1977-12","Ontario","","Units","300","thousands","3","v730397","7","84.5","","","","1"
"1977-12","Manitoba","","Units","300","thousands","3","v730398","8","11.1","","","","1"
"1977-12","Saskatchewan","","Units","300","thousands","3","v730399","9","24.4","","","","1"
"1977-12","Alberta","","Units","300","thousands","3","v730400","10","49.6","","","","1"
"1977-12","British Columbia","","Units","300","thousands","3","v730392","11","28.1","","","","1"
"1978-01","Canada","","Units","300","thousands","3","v730390","1","266.4","","","","1"
"1978-01","Newfoundland and Labrador","","Units","300","thousands","3","v730391","2","2.1","","","","1"
"1978-01","Prince Edward Island","","Units","300","thousands","3","v730393","3","1.3","","","","1"
"1978-01","Nova Scotia","","Units","300","thousands","3","v730394","4","9.3","","","","1"
"1978-01","New Brunswick","","Units","300","thousands","3","v730395","5","3.6","","","","1"
"1978-01","Quebec","","Units","300","thousands","3","v730396","6","49.8","","","","1"
"1978-01","Ontario","","Units","300","thousands","3","v730397","7","75.1","","","","1"
"1978-01","Manitoba","","Units","300","thousands","3","v730398","8","24.6","","","","1"
"1978-01","Saskatchewan","","Units","300","thousands","3","v730399","9","16.1","","","","1"
"1978-01","Alberta","","Units","300","thousands","3","v730400","10","55.2","","","","1"
"1978-01","British Columbia","","Units","300","thousands","3","v730392","11","29.3","","","","1"
"1978-02","Canada","","Units","300","thousands","3","v730390","1","281.8","","","","1"
"1978-02","Newfoundland and Labrador","","Units","300","thousands","3","v730391","2","1.9","","","","1"
"1978-02","Prince Edward Island","","Units","300","thousands","3","v730393","3","1.1","","","","1"
"1978-02","Nova Scotia","","Units","300","thousands","3","v730394","4","10.6","","","","1"
"1978-02","New Brunswick","","Units","300","thousands","3","v730395","5","4.2","","","","1"
"1978-02","Quebec","","Units","300","thousands","3","v730396","6","54.7","","","","1"
"1978-02","Ontario","","Units","300","thousands","3","v730397","7","85.4","","","","1"
"1978-02","Manitoba","","Units","300","thousands","3","v730398","8","18.7","","","","1"
"1978-02","Saskatchewan","","Units","300","thousands","3","v730399","9","5.9","","","","1"
"1978-02","Alberta","","Units","300","thousands","3","v730400","10","65.3","","","","1"
"1978-02","British Columbia","","Units","300","thousands","3","v730392","11","34.0","","","","1"
"1978-03","Canada","","Units","300","thousands","3","v730390","1","291.6","","","","1"
"1978-03","Newfoundland and Labrador","","Units","300","thousands","3","v730391","2","1.4","","","","1"
"1978-03","Prince Edward Island","","Units","300","thousands","3","v730393","3","1.1","","","","1"
"1978-03","Nova Scotia","","Units","300","thousands","3","v730394","4","8.7","","","","1"
"1978-03","New Brunswick","","Units","300","thousands","3","v730395","5","3.9","","","","1"
"1978-03","Quebec","","Units","300","thousands","3","v730396","6","68.6","","","","1"
"1978-03","Ontario","","Units","300","thousands","3","v730397","7","80.8","","","","1"
"1978-03","Manitoba","","Units","300","thousands","3","v730398","8","19.8","","","","1"
"1978-03","Saskatchewan","","Units","300","thousands","3","v730399","9","8.9","","","","1"
"1978-03","Alberta","","Units","300","thousands","3","v730400","10","59.4","","","","1"
"1978-03","British Columbia","","Units","300","thousands","3","v730392","11","39.0","","","","1"
"1978-04","Canada","","Units","300","thousands","3","v730390","1","203.9","","","","1"
"1978-04","Newfoundland and Labrador","","Units","300","thousands","3","v730391","2","1.2","","","","1"
"1978-04","Prince Edward Island","","Units","300","thousands","3","v730393","3","0.5","","","","1"
"1978-04","Nova Scotia","","Units","300","thousands","3","v730394","4","5.2","","","","1"
"1978-04","New Brunswick","","Units","300","thousands","3","v730395","5","4.8","","","","1"
"1978-04","Quebec","","Units","300","thousands","3","v730396","6","43.6","","","","1"
"1978-04","Ontario","","Units","300","thousands","3","v730397","7","64.0","","","","1"
"1978-04","Manitoba","","Units","300","thousands","3","v730398","8","15.7","","","","1"
"1978-04","Saskatchewan","","Units","300","thousands","3","v730399","9","7.4","","","","1"
"1978-04","Alberta","","Units","300","thousands","3","v730400","10","36.5","","","","1"
"1978-04","British Columbia","","Units","300","thousands","3","v730392","11","25.0","","","","1"
"1978-05","Canada","","Units","300","thousands","3","v730390","1","199.9","","","","1"
"1978-05","Newfoundland and Labrador","","Units","300","thousands","3","v730391","2","1.8","","","","1"
"1978-05","Prince Edward Island","","Units","300","thousands","3","v730393","3","0.6","","","","1"
"1978-05","Nova Scotia","","Units","300","thousands","3","v730394","4","5.6","","","","1"
"1978-05","New Brunswick","","Units","300","thousands","3","v730395","5","4.1","","","","1"
"1978-05","Quebec","","Units","300","thousands","3","v730396","6","43.0","","","","1"
"1978-05","Ontario","","Units","300","thousands","3","v730397","7","59.8","","","","1"
"1978-05","Manitoba","","Units","300","thousands","3","v730398","8","12.2","","","","1"
"1978-05","Saskatchewan","","Units","300","thousands","3","v730399","9","10.8","","","","1"
"1978-05","Alberta","","Units","300","thousands","3","v730400","10","36.0","","","","1"
"1978-05","British Columbia","","Units","300","thousands","3","v730392","11","26.0","","","","1"
"1978-06","Canada","","Units","300","thousands","3","v730390","1","203.1","","","","1"
"1978-06","Newfoundland and Labrador","","Units","300","thousands","3","v730391","2","2.0","","","","1"
"1978-06","Prince Edward Island","","Units","300","thousands","3","v730393","3","0.6","","","","1"
"1978-06","Nova Scotia","","Units","300","thousands","3","v730394","4","4.3","","","","1"
"1978-06","New Brunswick","","Units","300","thousands","3","v730395","5","4.7","","","","1"
"1978-06","Quebec","","Units","300","thousands","3","v730396","6","39.4","","","","1"
"1978-06","Ontario","","Units","300","thousands","3","v730397","7","60.3","","","","1"
"1978-06","Manitoba","","Units","300","thousands","3","v730398","8","15.5","","","","1"
"1978-06","Saskatchewan","","Units","300","thousands","3","v730399","9","7.7","","","","1"
"1978-06","Alberta","","Units","300","thousands","3","v730400","10","46.0","","","","1"
"1978-06","British Columbia","","Units","300","thousands","3","v730392","11","22.6","","","","1"
"1978-07","Canada","","Units","300","thousands","3","v730390","1","218.0","","","","1"
"1978-07","Newfoundland and Labrador","","Units","300","thousands","3","v730391","2","2.5","","","","1"
"1978-07","Prince Edward Island","","Units","300","thousands","3","v730393","3","0.6","","","","1"
"1978-07","Nova Scotia","","Units","300","thousands","3","v730394","4","4.2","","","","1"
"1978-07","New Brunswick","","Units","300","thousands","3","v730395","5","4.8","","","","1"
"1978-07","Quebec","","Units","300","thousands","3","v730396","6","41.8","","","","1"
"1978-07","Ontario","","Units","300","thousands","3","v730397","7","73.2","","","","1"
"1978-07","Manitoba","","Units","300","thousands","3","v730398","8","7.9","","","","1"
"1978-07","Saskatchewan","","Units","300","thousands","3","v730399","9","7.4","","","","1"
"1978-07","Alberta","","Units","300","thousands","3","v730400","10","47.9","","","","1"
"1978-07","British Columbia","","Units","300","thousands","3","v730392","11","27.7","","","","1"
"1978-08","Canada","","Units","300","thousands","3","v730390","1","218.5","","","","1"
